name,rating,benefits,categories,key_points,description
Rosa Damascena Flower Oil,Worst,,"Fragrance: Synthetic and Natural, Irritant, Antioxidant",Essential oil obtained from the petals of the damask rose | Poses a risk of irritation to skin due to its volatile fragrant compounds | Requires a large amount of Rosa damascena petals to yield a small amount of the oil,Rose-derived essential oil with volatile fragrant compounds that pose a risk of irritation to skin.
Rosa Damascena Oil,Worst,,"Fragrance: Synthetic and Natural, Irritant, Antioxidant",,Oil of a very fragrant pink rose used as fragrance in cosmetics.
Rosa Gallica Flower Extract,Worst,,"Fragrance: Synthetic and Natural, Irritant, Antioxidant, Plant Extracts",Also known as French rose extract | Used as a perfuming agent for its floral scent | Contains volatile compounds that can irritate skin | Offers antioxidant properties,Plant-derived ingredient often used in skin care as fragrance and a source of antioxidants. The problem?  It can sensitize skin.
Rose Flower,Worst,,"Fragrance: Synthetic and Natural, Irritant, Antioxidant",,Highly fragrant substance that can be a skin sensitizer.
Rose Flower Oil,Worst,,"Fragrance: Synthetic and Natural, Irritant, Antioxidant",,"Fragrant, volatile oil that can aggravate skin."
Rosemary Oil,Worst,,"Fragrance: Synthetic and Natural, Irritant, Antioxidant","Oil from the rosemary plant | Long used in traditional folk medicine | Volatile compounds can lead to irritation, including allergic contact dermatitis | Milder reactions after topical exposure include itching and redness","This oil from the rosemary plant can cause irritation, including allergic contact dermatitis."
Rose Oil,Worst,,"Fragrance: Synthetic and Natural, Irritant, Antioxidant",,"Fragrant, volatile oil that can aggravate skin."
Rosewood Oil,Worst,,"Fragrance: Synthetic and Natural, Irritant, Antioxidant",Also called bois de rose oil | Primarily used as a fragrance ingredient | Contains high amounts of sensitizing linalool,"This oil contains high amounts of linalool, which can cause skin irritation."
Sandalwood Oil,Worst,,"Fragrance: Synthetic and Natural, Irritant, Antioxidant",,"Fragrant oil (Latin name Santalum album) that can cause skin sensitivity, especially when used in pure concentrations."
Sausurrea Oil,Worst,,"Irritant, Fragrance: Synthetic and Natural, Plant Extracts",,Also called costus oil. Volatile oil and fragrant component used in cosmetics; it can be a skin sensitizer.
SD Alcohol,Worst,,"Irritant, Solvent","Is a volatile alcohol, also known as specially denatured alcohol | Can cause skin dryness and potential barrier disruption | Most commonly functions as a solvent in cosmetic formulas | Also has anti-foaming and astringent properties",Volatile denatured alcohols that can cause dryness and potential barrier disruption when used in high concentrations for their solvent properties.
SD Alcohol 40,Worst,,Irritant,,Denatured alcohol used as a solvent. It can be drying and sensitizing to skin when one of the main ingredients in the formula.
Silver,Worst,,"Irritant, Coloring Agent/Pigment",,"Metallic element that in cosmetics can have disinfecting properties; however, prolonged contact can turn skin grayish blue. Silver can be sensitizing to skin."
Sisymbrium Irio Seed Oil,Worst,Hydration,"Hydration, Fragrance: Synthetic and Natural, Irritant, Plant Extracts",Essential oil extracted from a plant commonly known as “London rocket” | Contains fragrant compounds that can be harmful when applied topically to skin | Also contains antioxidants and fatty acids | Has a yellow to greenish brown oily liquid appearance,Essential oil whose fragrant compounds pose a risk of irritation to skin.
Soap,Worst,,"Cleansing Agent, Irritant",,"Most soaps are considered very drying due to their alkaline base (i.e., a pH over 8). Bar cleansers can be gentler than bar soaps, but are more often than not still drying, depending on their composition."
Sodium Borate,Worst,,pH Adjuster/Stabilizer,,A compound used in cosmetics in small quantities primarily as a pH adjuster.
Sodium C14-16 Olefin Sulfonate,Worst,,"Cleansing Agent, Irritant","A powerful anionic (water- and oil-loving) surfactant | Has cleansing and foaming properties | Often used in skin, body, hair and home care products | Can disrupt the skin barrier, causing dryness and sensitization","Sensitizing anionic surfactant with cleansing and foaming properties. It can disrupt skin’s barrier, causing dryness due to water loss."
Sodium Carbonate,Worst,Oil Control,"Oil Control, Absorbent, Irritant",,Absorbent salt used in cosmetics; it can also be a skin sensitizer.
Sodium Lauryl Sulfate,Worst,,"Cleansing Agent, Irritant",,Versatile ingredient composed of several non-volatile alcohols. Functions primarily as a surfactant...
Sodium Silicate,Worst,,"pH Adjuster/Stabilizer, Irritant",,Highly alkaline and potentially sensitizing  mineral used in cosmetics...
Sodium Tallowate,Worst,,"Cleansing Agent, Irritant",Sodium salt of tallow | Made through a process involving lye | Has a high pH | Can cause skin barrier damage and irritation,This sodium salt of tallow has a high pH that can lead to skin barrier damage and water loss.
Sodium Thioglycolate,Worst,,"Antioxidant, Irritant",,"A synthetic ingredinet that functions as a reducing agent in cosmetics, most typically hair-removal lotions."
Spearmint Oil,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts",,"Fragrant, volatile oil that can cause skin sensitivity."
Star Anise,Worst,,"Fragrance: Synthetic and Natural, Plant Extracts, Antioxidant",,"Also known as aniseed, it can have antioxidant properties, but its fragrant components make this a potential skin sensitizer."
Styrax Benzoin,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts","Family of trees native to Asia | Generates plant-based oils, extracts, gums and resins | Used as perfuming agents in cosmetics | Can cause skin-sensitization",Styrax benzoin is a family of trees that generates aromatic cosmetic ingredients that can sensitize skin.
Styrax Benzoin Resin Extract,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts","A resin derived from Styrax benzoin trees | Contains volatile, skin-sensitizing aromatic compounds | Has a warm, vanilla scent | Can also be used as a part of preservative blends",Styrax benzoin resin extract is a plant-derived ingredient used as a perfuming agent in cosmetics. It’s capable of sensitizing skin.
Sulfur,Worst,Anti-Acne,"Anti-Acne, Irritant",,"Sulfur has more negatives than positives for skin, and its use to treat skin concerns should be seen as a last resort if other ingredients (such as benzoyl peroxide, azelaic acid, and salicylic acid) don't work as well as you had hoped."
Symphytum Officinale Extract,Worst,,Plant Extracts,"Plant extract with some potential skin benefits | Contains pyrrolizidine alkaloids, associated with health risks | Safety profile remains uncertain due to limited research | Best to avoid when it comes to personal care products",Controversial herb-derived ingredient with conflicting research on its safety in for topical use.
Szechuan Peppercorn,Worst,,"Irritant, Plant Extracts, Antioxidant",,"From a plant native to Szechuan Province in China. Szechuan pepper is known for the ""numbing"" sensation it produces on the tongue."
Tangerine Oil,Worst,,"Fragrance: Synthetic and Natural, Plant Extracts, Emollient",,"Fragrant, volatile citrus oil that can be a skin sensitizer."
TEA-Lauryl Sulfate,Worst,,Cleansing Agent,Also known as triethanolamine lauryl sulfate | Functions as a surfactant | Drying to skin and hair | Significant skin irritant in high concentrations,This cleansing agent is drying and is irritating in high amounts.
Thyme Oil,Worst,,"Fragrance: Synthetic and Natural, Irritant",,"Source of potent antioxidants, but its fragrant components (which are part of the oil itself) pose a risk of sensitivity."
Thymus Vulgaris Oil,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts",,"More commonly known as thyme oil. Like most fragrant plant oils, thyme is a source of potent antioxidants but its fragrant components (which are part of the oil itself) pose a risk of sensitivity."
Tormentil Extract,Worst,,,,"Plant that can be irritating due to its tannin content, which causes skin constriction."
UVA,Worst,,,,Ultraviolet A radiation comes from the sun and creates serious negative cumulative changes in skin.
UVB,Worst,,,,Ultraviolet B radiation.
Verbena Extract,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts",,Fragrant extract that can be a skin sensitizer.
Vetiver Oil or Extract,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts",,Fragrant component in skincare products that also has some beneficial properties.
Volatile Oil,Worst,,"Fragrance: Synthetic and Natural, Irritant",,Group of volatile fluids derived primarily from plants and used in cosmetics primarily as fragrant.
White Oak Bark Extract,Worst,,"Plant Extracts, Irritant",,Potentially irritating plant extract.
Wild Ginger,Worst,,"Plant Extracts, Irritant",,"Plant that has antioxidant capabilities for skin, but whose oil can be a skin irritant."
Witch Hazel,Worst,Oil Control,"Oil Control, Irritant, Plant Extracts, Antioxidant","Commonly used plant extract from the Hamamelis virginiana shrub | Can have potent astringent, anti-irritant, and skin soothing properties | Its high tannin content can also make it sensitizing to skin | Can be derived from different parts of the plant",Plant extract that can deliver antioxidant properties but is also sensitizing if used repeatedly because it denatures proteins that help keep skin healthy.
Xi Xin,Worst,,,,"Best known as ginger, this plant can have soothing an antioxidant activity, but its oil form can be sensitizing."
Ylang Ylang,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts",,"Fragrant, volatile oil that can be a skin sensitizer."
Zanthoxylum Piperitum,Worst,,"Irritant, Plant Extracts, Antioxidant",,"A plant native to Szechuan Province in China. The Szechuan pepper that comes from it is known for the ""numbing"" sensation it produces on the tongue."
Zanthoxylum Piperitum Fruit Extract,Worst,,"Irritant, Plant Extracts, Antioxidant",,"From a plant native to Szechuan Province in China. Szechuan pepper is known for the ""numbing"" sensation it produces on the tongue."
Zinc Carbonate,Worst,,Occlusive/Opacifying Agent,,Can be sensitizing when applied to skin. Most well known for use in calamine.
Zinc Sulfate,Worst,,"Preservative, Irritant, Antibacterial",Created through the reaction of sulfuric acid and zinc oxide | Said to have preservative and anti-acne properties | Conflicting reports and research surround its ability to help acne-prone skin | Can cause skin sensitization when applied topically,Preservative ingredient that can cause skin sensitization. There are conflicting reports about whether it is beneficial for acne-prone skin.
